session,movie_num,movie_name,duration,start,end,Brightness_mean,Brightness_std,ME_mean,ME_std,RMS_mean,RMS_std,FaceTRPortion,FaceTRs,wordcounts,wordratio
1,1,two men,234,31,264,0.35859857774968523,0.10111966807241085,-0.11511128302977965,0.3587331083845726,0.021184426594063326,0.018035410898227935,0.17424242424242425,46,133,60.45454545454545
1,2,bridgeville,211,295,505,0.45611073202597185,0.11617663859867716,0.16756857055516142,0.27642439160457355,0.02227635127072735,0.013199758733955005,0.42045454545454547,111,283,128.63636363636365
1,3,pockets,179,536,714,0.5373298503754903,0.07947793668339763,-0.07373776110108464,0.18987073621492095,0.016124851600853123,0.005347824342048328,0.26136363636363635,69,137,62.27272727272727
2,1,inception,217,31,247,0.22799695464702038,0.041422637743461825,0.34303884129680384,0.22353649654054775,0.02927058121521548,0.03150236042775393,0.5871212121212122,155,170,77.27272727272727
2,2,social net,249,277,525,0.1408103969385158,0.0393791903322999,-0.10464250322773033,0.19908565095543954,0.0069179762964368015,0.005594819505865492,0.7272727272727273,192,310,140.9090909090909
2,3,ocean's 11,239,556,794,0.19319847425327905,0.047033948206700475,0.044432350319889,0.15455154500840393,0.009684174140955229,0.01016806598142019,0.5833333333333334,154,280,127.27272727272727
3,1,flower,170,31,200,0.4891538032825029,0.21086230758102278,-0.015045106182380419,0.43672477078499206,0.03347341452226159,0.01526902570183813,0.007575757575757576,2,121,55.0
3,2,hotel,174,231,404,0.45294904175878464,0.08693668456266648,-0.33127300476061294,0.208229646455176,0.002555338160690474,0.004505834702561817,0.1856060606060606,49,42,19.09090909090909
3,3,garden,195,435,629,0.5064832165929154,0.11809437794281301,0.34446106584511943,0.2927183880422329,0.022465432154419915,0.011778576504305676,0.22348484848484848,59,469,213.1818181818182
3,4,dreary,132,660,791,0.3872594632133485,0.15734046156802386,-0.16028627330005663,0.34497396514074996,0.0066304501562084546,0,0,1,0,0.0
4,1,home alone,222,31,252,0.2418204785635813,0.05059737464104734,-0.08958817117312624,0.24852290314502973,0.006160826760920846,0.011774672073748774,0.19696969696969696,52,74,33.63636363636363
4,2,brokovich,220,283,502,0.4967831766872624,0.1106333286522624,0.11270598056779724,0.22732980077297324,0.010277004894704898,0.008802104743120893,0.36742424242424243,97,186,84.54545454545455
4,3,star wars,246,532,777,0.5038350514442113,0.10065762742410958,0.07654579117441697,0.3167686794678695,0.020352577497070982,0.016787915424859363,0.06439393939393939,17,79,35.909090909090914