,mtest,seed,fold,balanced_accuracy,roc_auc
0,two_men,0,1,0.6625,0.8125
1,two_men,0,2,0.525,0.6375
2,two_men,0,3,0.375,0.5972222222222222
3,two_men,0,4,0.34285714285714286,0.34285714285714286
4,two_men,0,5,0.7307692307692308,0.7692307692307693
5,two_men,0,6,0.42857142857142855,0.37142857142857144
6,two_men,0,7,0.3888888888888889,0.4691358024691358
7,two_men,0,8,0.625,0.5972222222222222
8,two_men,0,9,0.6375,0.7375
9,two_men,0,10,0.4326923076923077,0.6346153846153846
10,two_men,1,1,0.5303030303030303,0.6060606060606061
11,two_men,1,2,0.551948051948052,0.5974025974025974
12,two_men,1,3,0.475,0.4875
13,two_men,1,4,0.6057692307692308,0.4230769230769231
14,two_men,1,5,0.6458333333333334,0.8333333333333333
15,two_men,1,6,0.7083333333333333,0.7222222222222222
16,two_men,1,7,0.5833333333333333,0.6666666666666666
17,two_men,1,8,0.4875,0.5625
18,two_men,1,9,0.7142857142857143,0.8857142857142857
19,two_men,1,10,0.19230769230769232,0.2884615384615385
20,two_men,2,1,0.375,0.5
21,two_men,2,2,0.6875,0.8500000000000001
22,two_men,2,3,0.475,0.43749999999999994
23,two_men,2,4,0.6875,0.71875
24,two_men,2,5,0.5416666666666667,0.6666666666666667
25,two_men,2,6,0.5230769230769231,0.46153846153846156
26,two_men,2,7,0.34090909090909094,0.34848484848484845
27,two_men,2,8,0.48214285714285715,0.4642857142857143
28,two_men,2,9,0.8333333333333334,0.8472222222222222
29,two_men,2,10,0.5340909090909092,0.5909090909090909
30,two_men,3,1,0.6142857142857143,0.7
31,two_men,3,2,0.5375,0.5750000000000001
32,two_men,3,3,0.5375,0.55
33,two_men,3,4,0.5763888888888888,0.4305555555555556
34,two_men,3,5,0.65,0.7500000000000001
35,two_men,3,6,0.5535714285714286,0.5178571428571429
36,two_men,3,7,0.5166666666666667,0.6500000000000001
37,two_men,3,8,0.75,0.8611111111111112
38,two_men,3,9,0.475,0.5125
39,two_men,3,10,0.44696969696969696,0.6060606060606061
40,two_men,4,1,0.47115384615384615,0.5384615384615385
41,two_men,4,2,0.5714285714285714,0.7142857142857142
42,two_men,4,3,0.475,0.4875
43,two_men,4,4,0.47916666666666663,0.4861111111111111
44,two_men,4,5,0.5208333333333333,0.5972222222222222
45,two_men,4,6,0.4560439560439561,0.41758241758241754
46,two_men,4,7,0.48214285714285715,0.6607142857142857
47,two_men,4,8,0.875,0.9027777777777778
48,two_men,4,9,0.5416666666666667,0.5694444444444444
49,two_men,4,10,0.5833333333333333,0.6388888888888888
50,two_men,5,1,0.6527777777777778,0.6388888888888888
51,two_men,5,2,0.9285714285714286,0.9821428571428572
52,two_men,5,3,0.5535714285714286,0.4107142857142857
53,two_men,5,4,0.3125,0.46875
54,two_men,5,5,0.475,0.47500000000000003
55,two_men,5,6,0.6319444444444444,0.8888888888888888
56,two_men,5,7,0.5111111111111111,0.43333333333333335
57,two_men,5,8,0.475,0.48750000000000004
58,two_men,5,9,0.47916666666666663,0.4583333333333333
59,two_men,5,10,0.7375,0.8125
60,two_men,6,1,0.75,0.8472222222222222
61,two_men,6,2,0.575,0.5333333333333333
62,two_men,6,3,0.32142857142857145,0.28571428571428575
63,two_men,6,4,0.5208333333333333,0.6944444444444444
64,two_men,6,5,0.5833333333333333,0.638888888888889
65,two_men,6,6,0.4015151515151515,0.6212121212121212
66,two_men,6,7,0.5208333333333334,0.6979166666666666
67,two_men,6,8,0.625,0.7777777777777778
68,two_men,6,9,0.5875,0.6625000000000001
69,two_men,6,10,0.43506493506493504,0.42857142857142855
70,two_men,7,1,0.5227272727272727,0.6060606060606061
71,two_men,7,2,0.7571428571428571,0.8
72,two_men,7,3,0.5125,0.6375000000000001
73,two_men,7,4,0.6125,0.75
74,two_men,7,5,0.5416666666666666,0.5555555555555556
75,two_men,7,6,0.78125,0.6875
76,two_men,7,7,0.5208333333333333,0.5277777777777778
77,two_men,7,8,0.4375,0.4791666666666667
78,two_men,7,9,0.5875,0.6
79,two_men,7,10,0.3611111111111111,0.41666666666666663
80,two_men,8,1,0.5875,0.7125
81,two_men,8,2,0.5178571428571428,0.6607142857142857
82,two_men,8,3,0.6666666666666667,0.5555555555555556
83,two_men,8,4,0.6746031746031746,0.6190476190476191
84,two_men,8,5,0.5833333333333334,0.6388888888888888
85,two_men,8,6,0.5,0.5892857142857143
86,two_men,8,7,0.6442307692307692,0.7115384615384616
87,two_men,8,8,0.5571428571428572,0.4857142857142857
88,two_men,8,9,0.7,0.69
89,two_men,8,10,0.6818181818181819,0.6883116883116884
90,two_men,9,1,0.5317460317460317,0.5873015873015873
91,two_men,9,2,0.5416666666666666,0.4861111111111111
92,two_men,9,3,0.625,0.6499999999999999
93,two_men,9,4,0.4583333333333333,0.4722222222222222
94,two_men,9,5,0.551948051948052,0.6753246753246753
95,two_men,9,6,0.5757575757575758,0.696969696969697
96,two_men,9,7,0.55,0.56
97,two_men,9,8,0.5714285714285714,0.42857142857142855
98,two_men,9,9,0.6875,0.6375
99,two_men,9,10,0.5865384615384616,0.7115384615384616
100,bridgeville,0,1,0.8875,0.9750000000000001
101,bridgeville,0,2,0.475,0.5625
102,bridgeville,0,3,0.2916666666666667,0.29166666666666663
103,bridgeville,0,4,0.4857142857142857,0.5571428571428572
104,bridgeville,0,5,0.6442307692307692,0.7884615384615384
105,bridgeville,0,6,0.4571428571428572,0.4571428571428572
106,bridgeville,0,7,0.6111111111111112,0.654320987654321
107,bridgeville,0,8,0.75,0.8333333333333334
108,bridgeville,0,9,0.8,0.9
109,bridgeville,0,10,0.4903846153846154,0.5384615384615385
110,bridgeville,1,1,0.48484848484848486,0.5454545454545454
111,bridgeville,1,2,0.577922077922078,0.5454545454545454
112,bridgeville,1,3,0.4,0.425
113,bridgeville,1,4,0.6442307692307692,0.5769230769230769
114,bridgeville,1,5,0.6458333333333334,0.6145833333333333
115,bridgeville,1,6,0.7083333333333333,0.75
116,bridgeville,1,7,0.75,0.875
117,bridgeville,1,8,0.8,0.8125
118,bridgeville,1,9,0.7142857142857143,0.8999999999999999
119,bridgeville,1,10,0.7211538461538461,0.6730769230769231
120,bridgeville,2,1,0.5357142857142857,0.6785714285714286
121,bridgeville,2,2,0.8125,0.8124999999999999
122,bridgeville,2,3,0.675,0.675
123,bridgeville,2,4,0.5625,0.46875
124,bridgeville,2,5,0.5416666666666667,0.6527777777777777
125,bridgeville,2,6,0.5692307692307692,0.5692307692307692
126,bridgeville,2,7,0.4772727272727273,0.48484848484848486
127,bridgeville,2,8,0.7678571428571428,0.75
128,bridgeville,2,9,0.8333333333333334,0.875
129,bridgeville,2,10,0.5227272727272727,0.5909090909090909
130,bridgeville,3,1,0.8285714285714285,0.8857142857142857
131,bridgeville,3,2,0.6,0.625
132,bridgeville,3,3,0.675,0.7375
133,bridgeville,3,4,0.4722222222222222,0.375
134,bridgeville,3,5,0.55,0.69
135,bridgeville,3,6,0.5357142857142857,0.6607142857142857
136,bridgeville,3,7,0.6333333333333333,0.6499999999999999
137,bridgeville,3,8,0.5416666666666666,0.6805555555555556
138,bridgeville,3,9,0.4875,0.6125
139,bridgeville,3,10,0.7803030303030303,0.8484848484848484
140,bridgeville,4,1,0.4807692307692308,0.5961538461538461
141,bridgeville,4,2,0.6428571428571428,0.6607142857142857
142,bridgeville,4,3,0.5875,0.6375
143,bridgeville,4,4,0.75,0.6111111111111112
144,bridgeville,4,5,0.5763888888888888,0.7083333333333334
145,bridgeville,4,6,0.3791208791208791,0.18681318681318682
146,bridgeville,4,7,0.6607142857142857,0.5892857142857142
147,bridgeville,4,8,0.625,0.7361111111111112
148,bridgeville,4,9,0.7083333333333333,0.8333333333333333
149,bridgeville,4,10,0.6388888888888888,0.736111111111111
150,bridgeville,5,1,0.5833333333333333,0.5694444444444444
151,bridgeville,5,2,0.9642857142857143,0.9642857142857143
152,bridgeville,5,3,0.5892857142857143,0.7321428571428571
153,bridgeville,5,4,0.34375,0.0625
154,bridgeville,5,5,0.4,0.3875
155,bridgeville,5,6,0.5763888888888888,0.763888888888889
156,bridgeville,5,7,0.4666666666666667,0.5666666666666667
157,bridgeville,5,8,0.5375,0.4375
158,bridgeville,5,9,0.7013888888888888,0.7638888888888888
159,bridgeville,5,10,0.7875,0.8625
160,bridgeville,6,1,0.75,0.9305555555555556
161,bridgeville,6,2,0.3333333333333333,0.41666666666666663
162,bridgeville,6,3,0.35714285714285715,0.32142857142857145
163,bridgeville,6,4,0.7083333333333333,0.6944444444444445
164,bridgeville,6,5,0.5277777777777778,0.7222222222222222
165,bridgeville,6,6,0.5606060606060606,0.4393939393939394
166,bridgeville,6,7,0.5416666666666667,0.5
167,bridgeville,6,8,0.75,0.9166666666666666
168,bridgeville,6,9,0.725,0.825
169,bridgeville,6,10,0.6753246753246753,0.6883116883116883
170,bridgeville,7,1,0.4772727272727273,0.5454545454545454
171,bridgeville,7,2,0.85,0.7857142857142857
172,bridgeville,7,3,0.5,0.5875
173,bridgeville,7,4,0.6125,0.6749999999999999
174,bridgeville,7,5,0.41666666666666663,0.4444444444444444
175,bridgeville,7,6,0.625,0.5625
176,bridgeville,7,7,0.6597222222222222,0.7361111111111112
177,bridgeville,7,8,0.4375,0.47916666666666663
178,bridgeville,7,9,0.6,0.7375
179,bridgeville,7,10,0.7152777777777778,0.8055555555555556
180,bridgeville,8,1,0.575,0.6499999999999999
181,bridgeville,8,2,0.6071428571428572,0.7857142857142856
182,bridgeville,8,3,0.6666666666666667,0.611111111111111
183,bridgeville,8,4,0.5476190476190476,0.5079365079365079
184,bridgeville,8,5,0.625,0.6111111111111112
185,bridgeville,8,6,0.5714285714285714,0.625
186,bridgeville,8,7,0.40384615384615385,0.40384615384615385
187,bridgeville,8,8,0.5642857142857143,0.5285714285714286
188,bridgeville,8,9,0.7,0.6900000000000001
189,bridgeville,8,10,0.512987012987013,0.5844155844155845
190,bridgeville,9,1,0.6507936507936507,0.7619047619047619
191,bridgeville,9,2,0.2916666666666667,0.34722222222222215
192,bridgeville,9,3,0.7375,0.8375
193,bridgeville,9,4,0.5833333333333333,0.5277777777777779
194,bridgeville,9,5,0.6298701298701299,0.7792207792207791
195,bridgeville,9,6,0.6212121212121212,0.8333333333333333
196,bridgeville,9,7,0.45,0.42999999999999994
197,bridgeville,9,8,0.7321428571428572,0.625
198,bridgeville,9,9,0.7,0.9125
199,bridgeville,9,10,0.4230769230769231,0.6923076923076923
200,pockets,0,1,0.575,0.5687500000000001
201,pockets,0,2,0.55,0.5625
202,pockets,0,3,0.5416666666666666,0.37499999999999994
203,pockets,0,4,0.5071428571428571,0.5142857142857142
204,pockets,0,5,0.5673076923076923,0.6153846153846154
205,pockets,0,6,0.5928571428571429,0.6428571428571428
206,pockets,0,7,0.5555555555555556,0.6790123456790124
207,pockets,0,8,0.7083333333333333,0.7500000000000001
208,pockets,0,9,0.6875,0.8625
209,pockets,0,10,0.4423076923076923,0.5384615384615384
210,pockets,1,1,0.6136363636363636,0.6363636363636365
211,pockets,1,2,0.6038961038961039,0.5324675324675325
212,pockets,1,3,0.6625,0.75
213,pockets,1,4,0.8076923076923077,0.7307692307692308
214,pockets,1,5,0.5208333333333334,0.53125
215,pockets,1,6,0.625,0.7222222222222222
216,pockets,1,7,0.625,0.6388888888888888
217,pockets,1,8,0.625,0.7375
218,pockets,1,9,0.7357142857142858,0.9
219,pockets,1,10,0.2692307692307692,0.2115384615384615
220,pockets,2,1,0.4285714285714286,0.42857142857142855
221,pockets,2,2,0.725,0.775
222,pockets,2,3,0.45,0.47500000000000003
223,pockets,2,4,0.6875,0.8125
224,pockets,2,5,0.5,0.45833333333333337
225,pockets,2,6,0.4461538461538461,0.5538461538461539
226,pockets,2,7,0.5151515151515151,0.393939393939394
227,pockets,2,8,0.6071428571428572,0.7321428571428572
228,pockets,2,9,0.625,0.611111111111111
229,pockets,2,10,0.4602272727272727,0.6022727272727273
230,pockets,3,1,0.75,0.7571428571428571
231,pockets,3,2,0.5875,0.4625
232,pockets,3,3,0.525,0.48750000000000004
233,pockets,3,4,0.6944444444444444,0.7222222222222222
234,pockets,3,5,0.55,0.62
235,pockets,3,6,0.4107142857142857,0.4285714285714286
236,pockets,3,7,0.6333333333333333,0.7166666666666667
237,pockets,3,8,0.7083333333333334,0.625
238,pockets,3,9,0.4875,0.5625
239,pockets,3,10,0.6590909090909092,0.6666666666666666
240,pockets,4,1,0.5288461538461539,0.5769230769230769
241,pockets,4,2,0.48214285714285715,0.5357142857142857
242,pockets,4,3,0.5375,0.675
243,pockets,4,4,0.7708333333333333,0.7222222222222222
244,pockets,4,5,0.6527777777777778,0.6805555555555556
245,pockets,4,6,0.521978021978022,0.5384615384615384
246,pockets,4,7,0.5357142857142857,0.48214285714285715
247,pockets,4,8,0.75,0.75
248,pockets,4,9,0.375,0.36111111111111105
249,pockets,4,10,0.7638888888888888,0.75
250,pockets,5,1,0.47916666666666663,0.5694444444444444
251,pockets,5,2,0.6428571428571428,0.8035714285714286
252,pockets,5,3,0.375,0.26785714285714285
253,pockets,5,4,0.59375,0.6875
254,pockets,5,5,0.65,0.6375000000000001
255,pockets,5,6,0.6388888888888888,0.6666666666666667
256,pockets,5,7,0.6666666666666666,0.7
257,pockets,5,8,0.625,0.5125000000000001
258,pockets,5,9,0.5833333333333333,0.5416666666666667
259,pockets,5,10,0.5,0.625
260,pockets,6,1,0.9166666666666667,0.8611111111111112
261,pockets,6,2,0.7333333333333334,0.7333333333333334
262,pockets,6,3,0.7678571428571428,0.7857142857142857
263,pockets,6,4,0.5208333333333333,0.5277777777777778
264,pockets,6,5,0.2361111111111111,0.25
265,pockets,6,6,0.48484848484848486,0.46969696969696967
266,pockets,6,7,0.6041666666666667,0.7083333333333333
267,pockets,6,8,0.5416666666666666,0.6527777777777778
268,pockets,6,9,0.5875,0.7625
269,pockets,6,10,0.5324675324675324,0.5194805194805194
270,pockets,7,1,0.5984848484848485,0.5
271,pockets,7,2,0.6071428571428572,0.657142857142857
272,pockets,7,3,0.6375,0.8374999999999999
273,pockets,7,4,0.5125,0.7125
274,pockets,7,5,0.6666666666666666,0.6527777777777778
275,pockets,7,6,0.53125,0.625
276,pockets,7,7,0.4305555555555556,0.4444444444444445
277,pockets,7,8,0.5833333333333333,0.5208333333333334
278,pockets,7,9,0.575,0.5125000000000001
279,pockets,7,10,0.4652777777777778,0.4722222222222222
280,pockets,8,1,0.575,0.575
281,pockets,8,2,0.4107142857142857,0.26785714285714285
282,pockets,8,3,0.5416666666666666,0.7777777777777777
283,pockets,8,4,0.4920634920634921,0.5555555555555556
284,pockets,8,5,0.625,0.6388888888888888
285,pockets,8,6,0.5714285714285714,0.625
286,pockets,8,7,0.5961538461538461,0.6538461538461539
287,pockets,8,8,0.5857142857142856,0.6714285714285714
288,pockets,8,9,0.6,0.58
289,pockets,8,10,0.5324675324675324,0.6623376623376623
290,pockets,9,1,0.6190476190476191,0.7777777777777778
291,pockets,9,2,0.375,0.4305555555555556
292,pockets,9,3,0.7625,0.7375
293,pockets,9,4,0.25,0.2638888888888889
294,pockets,9,5,0.4675324675324675,0.4285714285714285
295,pockets,9,6,0.5681818181818181,0.5909090909090908
296,pockets,9,7,0.55,0.5800000000000001
297,pockets,9,8,0.5714285714285714,0.5178571428571428
298,pockets,9,9,0.725,0.8125
299,pockets,9,10,0.6730769230769231,0.8461538461538463
300,overcome,0,1,0.825,0.8250000000000002
301,overcome,0,2,0.575,0.5375
302,overcome,0,3,0.7083333333333333,0.611111111111111
303,overcome,0,4,0.5357142857142857,0.5
304,overcome,0,5,0.6346153846153846,0.7115384615384616
305,overcome,0,6,0.6571428571428571,0.5285714285714286
306,overcome,0,7,0.5,0.5432098765432098
307,overcome,0,8,0.5416666666666667,0.5555555555555556
308,overcome,0,9,0.625,0.675
309,overcome,0,10,0.6442307692307692,0.7307692307692307
310,overcome,1,1,0.8333333333333333,0.8484848484848485
311,overcome,1,2,0.5064935064935066,0.5324675324675325
312,overcome,1,3,0.55,0.5875
313,overcome,1,4,0.3942307692307692,0.4230769230769231
314,overcome,1,5,0.625,0.75
315,overcome,1,6,0.5416666666666666,0.5416666666666666
316,overcome,1,7,0.6666666666666667,0.6666666666666666
317,overcome,1,8,0.6875,0.7875000000000001
318,overcome,1,9,0.6357142857142857,0.7
319,overcome,1,10,0.3076923076923077,0.5
320,overcome,2,1,0.5,0.3928571428571429
321,overcome,2,2,0.6625,0.7375
322,overcome,2,3,0.575,0.5874999999999999
323,overcome,2,4,0.5,0.46875
324,overcome,2,5,0.8333333333333334,0.875
325,overcome,2,6,0.7230769230769231,0.6923076923076923
326,overcome,2,7,0.5984848484848485,0.5606060606060607
327,overcome,2,8,0.48214285714285715,0.5535714285714285
328,overcome,2,9,0.7083333333333333,0.8055555555555556
329,overcome,2,10,0.48863636363636365,0.5568181818181819
330,overcome,3,1,0.8285714285714285,0.7428571428571429
331,overcome,3,2,0.4,0.33749999999999997
332,overcome,3,3,0.525,0.5375000000000001
333,overcome,3,4,0.6458333333333333,0.6527777777777779
334,overcome,3,5,0.44999999999999996,0.46
335,overcome,3,6,0.6785714285714286,0.8035714285714285
336,overcome,3,7,0.3916666666666667,0.55
337,overcome,3,8,0.5833333333333333,0.5833333333333333
338,overcome,3,9,0.7125,0.8
339,overcome,3,10,0.6590909090909092,0.7878787878787878
340,overcome,4,1,0.7980769230769231,0.7884615384615385
341,overcome,4,2,0.8214285714285714,0.7142857142857142
342,overcome,4,3,0.6375,0.875
343,overcome,4,4,0.4722222222222222,0.4444444444444444
344,overcome,4,5,0.5138888888888888,0.7083333333333334
345,overcome,4,6,0.41208791208791207,0.3846153846153846
346,overcome,4,7,0.6607142857142857,0.5892857142857143
347,overcome,4,8,0.875,0.8472222222222223
348,overcome,4,9,0.3333333333333333,0.45833333333333337
349,overcome,4,10,0.5138888888888888,0.625
350,overcome,5,1,0.5833333333333333,0.5972222222222222
351,overcome,5,2,0.8392857142857143,0.9464285714285715
352,overcome,5,3,0.44642857142857145,0.3392857142857143
353,overcome,5,4,0.3125,0.34375
354,overcome,5,5,0.4875,0.475
355,overcome,5,6,0.7638888888888888,0.8055555555555556
356,overcome,5,7,0.6222222222222222,0.7222222222222222
357,overcome,5,8,0.5875,0.625
358,overcome,5,9,0.4236111111111111,0.5972222222222222
359,overcome,5,10,0.8,0.775
360,overcome,6,1,0.7083333333333333,0.763888888888889
361,overcome,6,2,0.4916666666666667,0.5166666666666666
362,overcome,6,3,0.5714285714285714,0.5178571428571428
363,overcome,6,4,0.5208333333333333,0.5138888888888888
364,overcome,6,5,0.5277777777777778,0.4722222222222222
365,overcome,6,6,0.6212121212121212,0.6969696969696969
366,overcome,6,7,0.6458333333333334,0.6979166666666666
367,overcome,6,8,0.5416666666666666,0.7222222222222222
368,overcome,6,9,0.65,0.8875
369,overcome,6,10,0.487012987012987,0.49350649350649345
370,overcome,7,1,0.5303030303030303,0.6666666666666666
371,overcome,7,2,0.6857142857142857,0.6571428571428571
372,overcome,7,3,0.5125,0.475
373,overcome,7,4,0.6125,0.7
374,overcome,7,5,0.75,0.7638888888888888
375,overcome,7,6,0.78125,0.71875
376,overcome,7,7,0.4097222222222222,0.4861111111111111
377,overcome,7,8,0.5833333333333333,0.5729166666666666
378,overcome,7,9,0.825,0.8875
379,overcome,7,10,0.47916666666666663,0.3472222222222222
380,overcome,8,1,0.5875,0.7125
381,overcome,8,2,0.4107142857142857,0.48214285714285715
382,overcome,8,3,0.625,0.6111111111111112
383,overcome,8,4,0.4920634920634921,0.5714285714285714
384,overcome,8,5,0.6666666666666666,0.7222222222222222
385,overcome,8,6,0.6964285714285714,0.6785714285714286
386,overcome,8,7,0.5576923076923077,0.6923076923076923
387,overcome,8,8,0.5071428571428571,0.4
388,overcome,8,9,0.75,0.7
389,overcome,8,10,0.6818181818181819,0.8961038961038961
390,overcome,9,1,0.42063492063492064,0.4920634920634921
391,overcome,9,2,0.75,0.6944444444444444
392,overcome,9,3,0.8,0.7750000000000001
393,overcome,9,4,0.7083333333333333,0.7361111111111113
394,overcome,9,5,0.6233766233766234,0.7662337662337662
395,overcome,9,6,0.6212121212121212,0.6818181818181819
396,overcome,9,7,0.55,0.53
397,overcome,9,8,0.5178571428571428,0.6785714285714286
398,overcome,9,9,0.45,0.575
399,overcome,9,10,0.5096153846153846,0.5961538461538461
400,inception,0,1,0.575,0.75
401,inception,0,2,0.325,0.375
402,inception,0,3,0.5416666666666667,0.6041666666666667
403,inception,0,4,0.27142857142857146,0.28571428571428575
404,inception,0,5,0.6538461538461539,0.40384615384615385
405,inception,0,6,0.5571428571428572,0.6285714285714286
406,inception,0,7,0.7777777777777778,0.8518518518518519
407,inception,0,8,0.75,0.8888888888888888
408,inception,0,9,0.6875,0.8375
409,inception,0,10,0.6826923076923077,0.7307692307692307
410,inception,1,1,0.6515151515151515,0.6818181818181818
411,inception,1,2,0.577922077922078,0.5974025974025974
412,inception,1,3,0.4125,0.42500000000000004
413,inception,1,4,0.6826923076923077,0.7115384615384616
414,inception,1,5,0.5833333333333333,0.625
415,inception,1,6,0.5,0.5
416,inception,1,7,0.5833333333333333,0.6111111111111112
417,inception,1,8,0.8875,0.925
418,inception,1,9,0.7357142857142858,0.8285714285714286
419,inception,1,10,0.2403846153846154,0.32692307692307687
420,inception,2,1,0.6964285714285714,0.75
421,inception,2,2,0.6375,0.7374999999999999
422,inception,2,3,0.475,0.55
423,inception,2,4,0.375,0.390625
424,inception,2,5,0.6666666666666666,0.5972222222222223
425,inception,2,6,0.7461538461538462,0.6923076923076923
426,inception,2,7,0.3484848484848485,0.2727272727272727
427,inception,2,8,0.625,0.6071428571428571
428,inception,2,9,0.75,0.8333333333333335
429,inception,2,10,0.6761363636363636,0.7386363636363636
430,inception,3,1,0.4642857142857143,0.5
431,inception,3,2,0.6,0.625
432,inception,3,3,0.6125,0.6000000000000001
433,inception,3,4,0.35416666666666663,0.5
434,inception,3,5,0.5,0.62
435,inception,3,6,0.7321428571428572,0.6785714285714286
436,inception,3,7,0.875,0.7833333333333333
437,inception,3,8,0.45833333333333337,0.5833333333333333
438,inception,3,9,0.45,0.47500000000000003
439,inception,3,10,0.6515151515151515,0.8484848484848485
440,inception,4,1,0.6442307692307692,0.75
441,inception,4,2,0.7857142857142857,0.7678571428571428
442,inception,4,3,0.3875,0.4375
443,inception,4,4,0.5277777777777778,0.4861111111111111
444,inception,4,5,0.5763888888888888,0.6666666666666667
445,inception,4,6,0.3351648351648352,0.42857142857142855
446,inception,4,7,0.6607142857142857,0.8035714285714285
447,inception,4,8,0.6666666666666666,0.7222222222222222
448,inception,4,9,0.6666666666666666,0.7638888888888888
449,inception,4,10,0.6319444444444444,0.7361111111111112
450,inception,5,1,0.47916666666666663,0.5694444444444444
451,inception,5,2,0.9285714285714286,0.9464285714285715
452,inception,5,3,0.5892857142857143,0.4642857142857143
453,inception,5,4,0.28125,0.15625
454,inception,5,5,0.5125,0.4125
455,inception,5,6,0.5208333333333333,0.6805555555555556
456,inception,5,7,0.5611111111111111,0.5888888888888889
457,inception,5,8,0.6125,0.6875
458,inception,5,9,0.3958333333333333,0.5972222222222221
459,inception,5,10,0.725,0.8
460,inception,6,1,0.6666666666666667,0.7777777777777777
461,inception,6,2,0.6333333333333333,0.75
462,inception,6,3,0.48214285714285715,0.4464285714285714
